CD74	PPP1R15A	MIF	EIF3D	ST13	NFKBIA	EIF3E	CD79A	PFN1	ARPC3	ARHGDIB	COX6A1	SKP1	ATP5F1E	EIF3K	RAC2	LSM7	EIF3G	FUS	H3F3B	COX5B	CYBA	PSMB1	ACTR3	BIRC3	FTH1	NDUFB11	EIF4A1	ARPC2	SSR2	NPM1	JUNB	PCBP1	FOS	EEF2	UQCRH	PABPC1	HCLS1	PTPRCAP	EIF4A2	HSP90AA1	EEF1A1	HLA-DQA1	NDUFA4	HNRNPA1	SNRPD2	HNRNPA2B1	HLA-DRB1	COX7A2	PSMA7	SERBP1	HSP90AB1	SLC25A5	YBX1	YWHAB	ATP6V1G1	IL2RG	HLA-DMA	PSMB9	HLA-DQA2	HLA-DRB5	HLA-C	HLA-E	BTF3	TMSB4X	LSP1	HLA-DRA	HLA-A	UBE2D2	UBA52	EIF4B	ARPC1B	HLA-DPA1	HLA-DMB	HLA-B	EIF1	COX7C	EIF3H	UQCRB	CFL1	MYL6	HLA-DQB1	HLA-DPB1	CXCR4	PPP1CA	RACK1	EIF3F	UBC	REL	CD79B	ACTG1	RHOA	COX4I1	ATP5MG	NCF1	SNRPB	SOD1	KMT2E	SP100	PSME1	PSMB8	FTL	EIF4G2	SSR4	NCL	JUN	PCBP2	EIF5A	PTPRC	PTGES3	RAN	EEF1D	HNRNPC	VIM	SLC25A6	YWHAZ	ATP6V0E1	TAPBP	NACA	GMFG	MYL12B
CD74	0	0	0.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955	0	0	0	0	0.971	0	0	0	0	0	0	0	0	0	0.937	0	0.905	0.931	0	0	0	0	0	0.993	0	0	0	0	0	0.926	0.903	0	0	0	0	0	0	0	0.935	0.943	0.987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R15A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIF	0.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3D	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0.997	0	0	0.997	0	0	0	0	0	0	0	0	0	0.928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0.997	0	0	0	0	0	0	0	0.941	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989	0	0	0	0	0	0	0	0	0	0	0.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKBIA	0	0	0	0	0	0	0	0	0	0	0	0	0.976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926	0.947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947	0.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3E	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0.999	0	0	0.997	0	0	0	0	0	0	0	0	0	0.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0.999	0	0	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
